Setting_Hướng dẫn thao tác rect=(x:-187.20, y:-33.75, width:374.40, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-174.10, y:-31.05, width:348.19, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-187.20, y:-0.84, width:374.40, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
SettingLabel rect=(x:-338.40, y:-33.75, width:676.80, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Setting_Gợi ý khi cần rect=(x:-187.20, y:-33.75, width:374.40, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-174.10, y:-31.05, width:348.19, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-187.20, y:-0.84, width:374.40, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
SettingLabel rect=(x:-338.40, y:-33.75, width:676.80, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Setting_Độ nhạy chuột rect=(x:-187.20, y:-33.75, width:374.40, height:67.50) pos=(0.00, 0.00) culled=False color=RGBA(0.125, 0.212, 0.282, 1.000) texture=VLAB rounded surface
Label rect=(x:-174.10, y:-31.05, width:348.19, height:62.10) pos=(0.00, 0.00) culled=False color=RGBA(0.973, 0.976, 0.980, 1.000) texture=Font Texture
Accent rect=(x:-187.20, y:-0.84, width:374.40, height:1.69) pos=(0.00, 0.00) culled=False color=RGBA(0.200, 0.400, 0.500, 1.000) texture=UnityWhite
Saved rect=(x:-547.20, y:-22.50, width:1094.40, height:45.00) pos=(0.00, 0.00) culled=False color=RGBA(0.671, 0.761, 0.812, 1.000) texture=Font Texture
SettingsDone rect=(x:-201.60, y:-29.25, width:403.20, height:58.50) pos=(0.00, 0.00) culled=False color=RGBA(0.000, 0.706, 0.847, 1.000) texture=VLAB rounded surface
Label rect=(x:-187.49, y:-26.91, width:374.98, height:53.82) pos=(0.00, 0.00) culled=False color=RGBA(0.051, 0.067, 0.090, 1.000) texture=Font Texture
Accent rect=(x:-201.60, y:-0.73, width:403.20, height:1.46) pos=(0.00, 0.00) culled=False color=RGBA(0.380, 0.880, 1.000, 1.000) texture=UnityWhite
